,clusters,area,n,Price Q1,Price Q2,Price Q3,QCoD,segmentation
0,0,9642080.05562288,19961.0,3072.80712890625,3642.7666015625,4268.72326660156,0.17111754803467252,MT8cls5sw
1,1,22743000.13645713,8732.0,2711.34153747559,3454.384692382815,4088.2147216796925,0.228922892659882,MT8cls5sw
2,2,1753973.7142490083,3199.0,2631.64668026649,3357.75732421875,4516.9033203125,0.1688984098155065,MT8cls5sw
3,3,3396389.92024231,5891.0,3565.23728288923,4220.60424804688,4851.99563907772,0.18051421220908756,MT8cls5sw
4,4,10350350.625476597,13145.0,3986.18057250977,4672.5859375,5205.94853515625,0.2702921493858733,MT8cls5sw
5,5,18223808.089675523,9416.0,3051.41873105367,3900.940118577745,4832.237600821039,0.25697670046807075,MT8cls5sw
6,6,1349072.7689644108,,,,,0.23030880722168492,MT8cls5sw
7,7,33486629.55660374,1451.0,2537.95239257813,3222.64599609375,4701.07516084559,0.09764960849788742,MT8cls5sw
0,0,5641440.180827157,10864.0,3296.35945638021,3998.99578857422,4657.384644642448,0.17111754803467252,ET8cls5sw
1,1,21873959.246440865,5285.0,2676.21411132813,3634.80126953125,4265.28132629395,0.228922892659882,ET8cls5sw
2,2,7154389.890753738,17695.0,3002.21899414062,3603.7636274858,4222.454931640625,0.1688984098155065,ET8cls5sw
3,3,2068003.3303071097,5.0,1694.11535644531,2288.57104492188,2440.46606445312,0.18051421220908756,ET8cls5sw
4,4,22630174.311072115,474.0,2890.2575642903603,4068.028469848635,5031.426605224608,0.2702921493858733,ET8cls5sw
5,5,16594480.660445489,5881.0,2891.05126953125,3700.06905110677,4890.80771484375,0.25697670046807075,ET8cls5sw
6,6,10775466.430729538,11982.0,2825.73179287381,3598.263908617425,4516.776006062825,0.23030880722168492,ET8cls5sw
7,7,8605031.881778192,9602.0,4386.80516258446,4886.279520089285,5336.258525085453,0.09764960849788742,ET8cls5sw
0,0,5549461.565689444,10516.0,3345.0200576782227,4059.837521972655,4704.486136300223,0.17111754803467252,block_from_ET8cls5sw
1,1,24512152.514541656,5422.0,2691.213195800785,3622.1145629882803,4271.7525634765625,0.228922892659882,block_from_ET8cls5sw
2,2,7277098.606723141,17434.0,2963.5567016601576,3583.3756103515652,4190.916802039512,0.1688984098155065,block_from_ET8cls5sw
3,4,23005935.62707249,523.0,3537.7921142578152,4161.20011918263,4938.26513671875,0.2702921493858733,block_from_ET8cls5sw
4,5,16203293.888932047,5786.0,2836.306376987035,3688.1279225068947,4840.977050781248,0.25697670046807075,block_from_ET8cls5sw
5,6,10656485.945103187,11802.0,2859.755726207385,3528.1303100585947,4429.873195103238,0.23030880722168492,block_from_ET8cls5sw
0,0,5760125.068649809,10600.0,3300.1042404174777,4009.141452365455,4688.430190841875,0.17111754803467252,H3_from_ET8cls5sw
1,1,24700756.439869728,5763.0,2658.0543212890598,3581.49243164063,4221.96923828125,0.228922892659882,H3_from_ET8cls5sw
2,2,7483933.420664105,16876.0,2976.6638689313627,3601.554931640625,4208.048142653245,0.1688984098155065,H3_from_ET8cls5sw
3,3,2588892.488676387,7.0,1573.4445190429701,1694.11535644531,2364.5185546875,0.18051421220908756,H3_from_ET8cls5sw
4,4,27849587.057480946,607.0,2885.872314453125,4362.60888671875,5017.448923746745,0.2702921493858733,H3_from_ET8cls5sw
5,5,18551447.54749906,5881.0,2927.11481267756,3803.06160481771,4919.9694281684,0.25697670046807075,H3_from_ET8cls5sw
6,6,11488868.892034115,11813.0,2840.40501493566,3525.80129665799,4426.79770333426,0.23030880722168492,H3_from_ET8cls5sw
7,7,9297618.47526693,10262.0,4343.4333180018875,4852.978099127235,5313.089669363842,0.09764960849788742,H3_from_ET8cls5sw
0,0,33731653.255392455,48787.0,3156.285111860795,3896.92236328125,4730.4428051098,0.17111754803467252,H3_basic_8cls1sw
1,1,14006208.190867532,1445.0,3490.02209472656,4246.3203125,5064.5780806108,0.228922892659882,H3_basic_8cls1sw
2,2,2866127.658134517,4.0,4098.347229003907,4485.48035830543,5100.7193167550195,0.1688984098155065,H3_basic_8cls1sw
3,3,979689.9021918487,4.0,4119.410711157025,4271.318549008295,4463.534102799055,0.18051421220908756,H3_basic_8cls1sw
4,4,350898.22776244086,,,,,0.2702921493858733,H3_basic_8cls1sw
5,5,4926903.079416047,517.0,4569.22477213542,4969.45235188802,5274.03425480769,0.25697670046807075,H3_basic_8cls1sw
6,6,219365.6626694622,,,,,0.23030880722168492,H3_basic_8cls1sw
7,7,23987592.549512837,11046.0,2891.7589111328125,3739.92493293399,4657.254816036412,0.09764960849788742,H3_basic_8cls1sw
0,0,4643970.817715243,,,,,0.17111754803467252,H3_charsfrom_ET8cls5sw
1,1,16753745.745420456,1464.0,3469.7019546241127,4490.336842438401,5131.921086545847,0.228922892659882,H3_charsfrom_ET8cls5sw
2,2,9988030.044798022,15.0,1573.4445190429701,2440.46606445312,2848.890158134595,0.1688984098155065,H3_charsfrom_ET8cls5sw
3,3,292486.18218071613,,,,,0.18051421220908756,H3_charsfrom_ET8cls5sw
4,4,22980056.451201834,13176.0,2880.913455009465,3781.1956787109402,4698.284912109375,0.2702921493858733,H3_charsfrom_ET8cls5sw
5,5,29264008.16208439,44085.0,3196.83381347656,3922.67276436942,4751.84796697443,0.25697670046807075,H3_charsfrom_ET8cls5sw
6,6,2968170.285465617,35.0,3123.7787309126397,3522.60602213542,4102.35200451763,0.23030880722168492,H3_charsfrom_ET8cls5sw
7,7,20845372.39333084,3034.0,2363.286865234375,3660.278076171875,4221.129150390625,0.09764960849788742,H3_charsfrom_ET8cls5sw
0,0,91198710.51218286,58325.0,3084.75493774414,3827.41748046875,4680.91552734375,0.17111754803467252,constrained_15cls
1,1,2611263.9502051645,623.0,5065.213745117189,5631.41064453125,6105.742513020835,0.228922892659882,constrained_15cls
2,2,101291.13199841147,193.0,3897.01528320313,4189.42020089286,4418.58752441406,0.1688984098155065,constrained_15cls
3,3,52178.93063746424,92.0,2407.32152642144,2576.1080322265652,2800.852241516115,0.18051421220908756,constrained_15cls
4,4,469344.6174557238,,,,,0.2702921493858733,constrained_15cls
5,5,2617544.974587561,178.0,3585.3597412109402,3825.7567138671902,4013.3666381835974,0.25697670046807075,constrained_15cls
6,6,1254034.0240197203,,,,,0.23030880722168492,constrained_15cls
7,7,1805.8497831962843,,,,,0.09764960849788742,constrained_15cls
8,8,17969.03534576929,57.0,2824.5458984375,3087.89660644531,3398.97745768229,,constrained_15cls
9,9,160936.86622786988,86.0,3878.613098144535,4085.8897705078152,4237.21728515625,,constrained_15cls
10,10,1571666.2830052162,2048.0,4528.551631673177,4906.959339317909,5259.312432143265,,constrained_15cls
11,11,36743.71357486859,86.0,2765.71551992379,3099.81567382813,3473.3801879882826,,constrained_15cls
12,12,784651.6072798285,,,,,,constrained_15cls
13,13,34036.77197106511,57.0,3618.81909179688,3979.04638671875,4114.97525024414,,constrained_15cls
14,14,33126.59901734781,50.0,2671.48901367188,2671.48901367188,2671.48901367188,,constrained_15cls
0,0,1268609.926553637,360.0,2791.67903137207,3051.06031454763,3347.4496267443524,0.17111754803467252,barris
1,1,297069.48731498857,269.0,3638.89460100446,3862.32585797991,4208.0341796875,0.228922892659882,barris
2,2,1100286.13571364,1700.0,3544.3506580699523,3777.717111298535,4035.9776800246477,0.1688984098155065,barris
3,3,815593.9379149141,1089.0,4426.13838334517,4731.28125,5070.59487304688,0.18051421220908756,barris
4,4,1179381.9507885198,852.0,4674.10747419085,4924.751953125,5109.707861328125,0.2702921493858733,barris
5,5,1109668.7797898576,1373.0,4505.88844992898,4836.6884543679,5159.13981119792,0.25697670046807075,barris
6,6,929355.7803568053,586.0,4180.663576126097,4518.47230132287,4822.231691800633,0.23030880722168492,barris
7,7,1041829.3468959394,1483.0,4028.487133789065,4358.91528320313,4669.52603931916,0.09764960849788742,barris
8,8,2119874.214324659,1898.0,5049.519266941237,5405.474187677555,5672.486813354492,,barris
9,9,1228435.8355559418,1457.0,5055.31880696615,5313.09465680804,5550.13758680556,,barris
10,10,1340701.1590491454,1236.0,4444.37248447963,4784.367725719105,5040.273727416992,,barris
11,11,804106.8774433777,1033.0,4162.02783203125,4402.31005859375,4671.28600431744,,barris
12,12,4585321.407166517,1451.0,3736.2552490234402,4028.7551551232,4287.13062756471,,barris
13,13,14237476.074939813,50.0,2326.5447998046902,2893.3163452148447,3136.0690612792996,,barris
14,14,1669219.7234541317,1663.0,5127.505546374199,5379.08798828125,5652.40192101389,,barris
15,15,1250949.496457502,1046.0,3419.428314208987,3810.9288940429697,4240.325952148438,,barris
16,16,650526.5067834462,1104.0,4150.430511474608,4405.533677045035,4730.978816441129,,barris
17,17,562465.6929553462,700.0,3385.976989746095,3659.249443359375,3916.801359757135,,barris
18,18,1308733.4138545075,1950.0,3067.6142490931925,3273.9833984375,3508.598885975717,,barris
19,19,384183.6829417842,656.0,3099.2518365616174,3393.2306431361603,3665.2659912109375,,barris
20,20,939990.4841699736,1771.0,2337.03948974609,2486.40087890625,2714.7640380859402,,barris
21,21,337544.7119036562,726.0,2634.16033935547,2942.488540649415,3247.6446456909175,,barris
22,22,1681203.6621105536,276.0,2854.243569510325,3084.3929443359402,3454.7307189941375,,barris
23,23,2055246.60227912,89.0,2696.83044988459,2816.11172250601,2908.40087890625,,barris
24,24,744530.9287314165,58.0,3771.75708007813,4074.446740722655,4280.606681696572,,barris
25,25,178491.02589735264,112.0,2464.28662109375,2714.5615234375,3050.9665527343777,,barris
26,26,657222.60567865,961.0,3490.83184814453,3760.79554578993,4042.0517578125,,barris
27,27,3070018.026397807,1748.0,2895.0967529296877,3171.8975830078152,3485.513387044275,,barris
28,28,564280.056380105,954.0,2631.7385223388674,3020.0935726768103,3287.8197804768874,,barris
29,29,836824.4376544681,666.0,2542.0660196940153,2817.83613920666,3040.3031608179977,,barris
30,30,354212.69247215067,307.0,2350.72610909598,2571.66311035156,2718.241732788085,,barris
31,31,353224.68900956155,470.0,3046.6610374450725,3331.2267049153697,3623.690382603235,,barris
32,32,648389.0343090482,494.0,3558.6760192871097,3812.60433812635,4157.417498136825,,barris
33,33,1321188.1142776783,3397.0,4368.84387207031,4661.78377278646,4971.369140625,,barris
34,34,409927.4547425651,673.0,3154.16538085938,3475.04863630022,3747.88290405273,,barris
35,35,572212.8051672535,486.0,3006.8693603515676,3339.5540313720703,3535.11763366342,,barris
36,36,414589.53577569145,845.0,3223.74731445313,3563.70483398438,3816.29961286272,,barris
37,37,1094643.3592429527,2039.0,3343.0722698343197,3633.63525390625,3919.67489478702,,barris
38,38,1410409.5553651177,1136.0,4530.90658569336,4849.17885983645,5103.7950108846,,barris
39,39,1915370.9466517936,574.0,3790.5850601196275,4022.8827593183196,4214.3058295355895,,barris
40,40,2684988.6098526465,538.0,5882.460644531249,6259.59814453125,6526.37314453125,,barris
41,41,11329441.61430999,1096.0,3611.04791259766,3877.5823974609402,4106.6422119140625,,barris
42,42,3047444.4544629906,1556.0,5286.704650878903,5588.883544921875,5930.739990234375,,barris
43,43,787959.375152242,603.0,5414.239395302226,5651.66410688921,5884.233561197915,,barris
44,44,2233641.496448685,1147.0,4958.088632757015,5310.07327706473,5854.8876953125,,barris
45,45,847859.5092169109,1273.0,4472.97265625,4697.43734975962,4910.23117404514,,barris
46,46,423825.0761687191,596.0,2287.10571289063,3270.82081187855,3630.1134559631323,,barris
47,47,740633.1456690276,1707.0,3464.33127407654,3742.52716936384,4017.239610072545,,barris
48,48,696792.0610569232,635.0,3531.449468122215,3835.76330566406,4109.98854282924,,barris
49,49,1122041.3864871082,296.0,4185.27813720703,4513.8046526227645,4796.7435546875,,barris
50,50,924839.977780184,97.0,4609.51212565104,4962.24807871943,5164.57470703125,,barris
51,51,1567030.524902987,1368.0,4063.5499521891275,4396.1186319986955,4740.444361069623,,barris
52,52,1226952.5706345805,75.0,4103.74465942383,4858.25032552083,5407.51275285276,,barris
53,53,1208701.4754035433,296.0,2375.997838338215,2554.42700195313,2669.1693842270774,,barris
54,54,1085739.6285677596,359.0,3241.665001910665,3576.85400390625,3908.1419677734348,,barris
55,55,733989.0163309346,299.0,2859.30130440848,2906.30245768229,3105.585084945435,,barris
56,56,1129978.3949962524,331.0,2488.83813476563,2675.2529296875,2904.81080488725,,barris
57,57,118684.90295654054,627.0,2092.598876953125,2106.15380859375,2121.53930664063,,barris
58,58,611957.5868533655,138.0,2404.1890869140652,2482.723974609375,2618.8172415788226,,barris
59,59,237118.2163464543,557.0,2394.50732421875,2527.0888671875,2655.86499023438,,barris
60,60,591218.9100760204,1094.0,2354.837777171415,2496.1081927106097,2702.1746875928798,,barris
61,61,790101.3876034123,67.0,2117.09645734515,2159.37255859375,2212.54370117188,,barris
62,62,643017.6256804288,903.0,2063.80731201172,2200.2654296875,2332.9806134259297,,barris
63,63,576707.1482089147,169.0,2016.85986328125,2141.03198242187,2180.12915039062,,barris
64,64,1741824.7636613226,621.0,1694.72973632813,1864.80334472656,2008.38134765625,,barris
65,65,376683.2452845761,78.0,1901.153453153725,1934.1374559589499,1945.1907665776275,,barris
66,66,613836.826326532,215.0,1633.8759155273451,1838.45703125,1890.7421264648451,,barris
67,67,807611.8883643942,592.0,1905.30545043945,2046.636419677735,2164.3247833252,,barris
68,68,229892.74913181303,25.0,1967.57108561198,2074.81031558388,2183.29619240274,,barris
69,69,1868205.6941209605,735.0,2612.156359997425,2691.43408203125,2691.43408203125,,barris
70,70,1867419.187807567,2746.0,3083.7358690344777,3430.93505859375,3683.6318359375,,barris
71,71,986311.3122477917,559.0,3122.009178670245,3366.46221454327,3658.6251220703152,,barris
72,72,409214.0379027029,686.0,2821.7757080078127,3041.74780273438,3292.9859963157,,barris
0,0,4204930.804206932,5014.0,3942.4546519403875,4522.527854919435,4975.556291060017,0.17111754803467252,districtes
1,1,7464303.213625869,7693.0,4415.47838245739,4857.88985402961,5330.59326171875,0.228922892659882,districtes
2,2,22879850.048972797,6173.0,3294.71118164063,3636.10030110677,3987.55538236178,0.1688984098155065,districtes
3,3,6010769.111869558,2248.0,4278.222949218747,4834.72159830729,5492.2828165690125,0.18051421220908756,districtes
4,4,19915566.16885825,7338.0,4673.713496616911,5213.435017903645,5642.5926513671875,0.2702921493858733,districtes
5,5,4224277.839674354,6511.0,3947.20061238607,4411.664453125,4808.85780843099,0.25697670046807075,districtes
6,6,11919630.82733845,9047.0,2764.943328857425,3173.10888671875,3556.9044799804697,0.23030880722168492,districtes
7,7,8056467.800297309,6396.0,2106.15380859375,2377.5015869140652,2711.2582554536702,0.09764960849788742,districtes
8,8,6592479.943587346,5939.0,2691.43408203125,3141.37368774414,3575.697715065695,,districtes
9,9,10436698.196872983,5463.0,3288.66500244141,3867.91350446429,4288.864095052085,,districtes
26,0,1313047.0744554095,3397.0,4368.84387207031,4661.78377278646,4971.369140625,0.17111754803467252,polygons_BCN
41,1,636080.0450921257,903.0,2063.80731201172,2200.2654296875,2332.9806134259297,0.228922892659882,polygons_BCN
64,2,1317320.7171925846,75.0,4103.74465942383,4858.25032552083,5407.51275285276,0.1688984098155065,polygons_BCN
95,3,1821943.5505067282,735.0,2612.156359997425,2691.43408203125,2691.43408203125,0.18051421220908756,polygons_BCN
102,4,1598579.6440103508,852.0,4674.10747419085,4924.751953125,5109.707861328125,0.2702921493858733,polygons_BCN
125,5,423424.4225192825,596.0,2287.10571289063,3270.82081187855,3630.1134559631323,0.25697670046807075,polygons_BCN
150,6,1051935.0818526656,1483.0,4028.487133789065,4358.91528320313,4669.52603931916,0.23030880722168492,polygons_BCN
154,7,408303.69955875364,686.0,2821.7757080078127,3041.74780273438,3292.9859963157,0.09764960849788742,polygons_BCN
155,8,1154427.0672052258,327.0,2506.9070587158203,2680.2568359375,2910.30679724014,,polygons_BCN
161,9,565842.5186261854,954.0,2631.7385223388674,3020.0935726768103,3287.8197804768874,,polygons_BCN
169,10,740485.2753183539,299.0,2859.30130440848,2906.30245768229,3105.585084945435,,polygons_BCN
185,11,362809.53073141334,470.0,3046.6610374450725,3331.2267049153697,3623.690382603235,,polygons_BCN
198,12,575133.436321584,169.0,2016.85986328125,2141.03198242187,2180.12915039062,,polygons_BCN
250,13,1036336.2442432101,294.0,2377.885643513998,2554.42700195313,2675.4807682411324,,polygons_BCN
256,14,1087741.3542744888,2039.0,3343.0722698343197,3633.63525390625,3919.67489478702,,polygons_BCN
313,15,4605616.08702685,1451.0,3736.2552490234402,4028.7551551232,4287.13062756471,,polygons_BCN
320,16,968744.2420986645,559.0,3122.009178670245,3366.46221454327,3658.6251220703152,,polygons_BCN
334,17,828650.153456171,666.0,2542.0660196940153,2817.83613920666,3040.3031608179977,,polygons_BCN
342,18,655048.6508984172,494.0,3558.6760192871097,3812.60433812635,4157.417498136825,,polygons_BCN
353,19,470730.24790006725,934.0,2103.00219726563,2112.029296875,2357.808513342812,,polygons_BCN
380,20,582466.4865509404,1094.0,2354.837777171415,2496.1081927106097,2702.1746875928798,,polygons_BCN
400,21,576977.6134591771,486.0,3006.8693603515676,3339.5540313720703,3535.11763366342,,polygons_BCN
417,22,1086773.31924698,296.0,4185.27813720703,4513.8046526227645,4796.7435546875,,polygons_BCN
422,23,922312.9764463495,97.0,4609.51212565104,4962.24807871943,5164.57470703125,,polygons_BCN
429,24,3692812.8890753123,386.0,2800.49740600586,2990.95043945313,3406.635833740235,,polygons_BCN
446,25,671076.6946041818,961.0,3490.83184814453,3760.79554578993,4042.0517578125,,polygons_BCN
452,26,1643148.1156411027,1663.0,5127.505546374199,5379.08798828125,5652.40192101389,,polygons_BCN
453,27,698864.4192862707,591.0,1905.0937784830699,2046.58239746094,2164.81777954102,,polygons_BCN
472,28,305754.87063037266,269.0,3638.89460100446,3862.32585797991,4208.0341796875,,polygons_BCN
476,29,742821.9687167526,1707.0,3464.33127407654,3742.52716936384,4017.239610072545,,polygons_BCN
485,30,11919861.210705385,10.0,1530.246551513675,1968.10470858487,2402.4923095703098,,polygons_BCN
492,31,3201751.6679133205,1748.0,2895.0967529296877,3171.8975830078152,3485.513387044275,,polygons_BCN
502,32,943524.5244175171,586.0,4180.663576126097,4518.47230132287,4822.231691800633,,polygons_BCN
503,33,411446.90396603686,845.0,3223.74731445313,3563.70483398438,3816.29961286272,,polygons_BCN
510,34,1138130.224729027,1373.0,4505.88844992898,4836.6884543679,5159.13981119792,,polygons_BCN
517,35,254413.76423202362,557.0,2394.50732421875,2527.0888671875,2655.86499023438,,polygons_BCN
521,36,643334.4868341681,1104.0,4150.430511474608,4405.533677045035,4730.978816441129,,polygons_BCN
524,37,797800.5155454696,1033.0,4162.02783203125,4402.31005859375,4671.28600431744,,polygons_BCN
538,38,850800.0600824208,1273.0,4472.97265625,4697.43734975962,4910.23117404514,,polygons_BCN
543,39,1254078.2414776115,360.0,2791.67903137207,3051.06031454763,3347.4496267443524,,polygons_BCN
560,40,373947.23144006566,656.0,3099.2518365616174,3393.2306431361603,3665.2659912109375,,polygons_BCN
561,41,2681012.6581319924,897.0,1707.38549804687,1868.96911621094,1956.67272949219,,polygons_BCN
569,42,220229.16037717563,25.0,1967.57108561198,2074.81031558388,2183.29619240274,,polygons_BCN
571,43,1303757.2455207934,1950.0,3067.6142490931925,3273.9833984375,3508.598885975717,,polygons_BCN
575,44,1090405.9196478182,1699.0,3543.558493874285,3777.7099387429,4034.6425167992,,polygons_BCN
576,45,1188471.2429330389,1025.0,3425.27514648438,3816.97241210938,4249.11291787791,,polygons_BCN
578,46,876672.7533399141,36.0,2816.3843383789076,2972.2320556640652,3257.3632038661426,,polygons_BCN
587,47,918173.8881071528,170.0,2575.8529663085924,2934.0955810546848,3827.9460617065474,,polygons_BCN
590,48,561404.0316363397,700.0,3385.976989746095,3659.249443359375,3916.801359757135,,polygons_BCN
610,49,3011076.833451403,1556.0,5286.704650878903,5588.883544921875,5930.739990234375,,polygons_BCN
613,50,714339.4012762185,635.0,3531.449468122215,3835.76330566406,4109.98854282924,,polygons_BCN
614,51,628124.1222312242,138.0,2404.1890869140652,2482.723974609375,2618.8172415788226,,polygons_BCN
615,52,416529.4575908836,673.0,3154.16538085938,3475.04863630022,3747.88290405273,,polygons_BCN
617,53,605397.6393728503,67.0,2117.09645734515,2159.37255859375,2212.54370117188,,polygons_BCN
627,54,786623.9696295408,603.0,5414.239395302226,5651.66410688921,5884.233561197915,,polygons_BCN
636,55,2262334.530052762,1147.0,4958.088632757015,5310.07327706473,5854.8876953125,,polygons_BCN
648,56,1586395.3225654275,1368.0,4063.5499521891275,4396.1186319986955,4740.444361069623,,polygons_BCN
653,57,1344597.1331844311,1236.0,4444.37248447963,4784.367725719105,5040.273727416992,,polygons_BCN
654,58,1429156.49188521,1136.0,4530.90658569336,4849.17885983645,5103.7950108846,,polygons_BCN
669,59,1082655.5853063653,359.0,3241.665001910665,3576.85400390625,3908.1419677734348,,polygons_BCN
673,60,1231756.155673162,1457.0,5055.31880696615,5313.09465680804,5550.13758680556,,polygons_BCN
692,61,334366.36281431123,726.0,2634.16033935547,2942.488540649415,3247.6446456909175,,polygons_BCN
693,62,1894955.9623188998,574.0,3790.5850601196275,4022.8827593183196,4214.3058295355895,,polygons_BCN
699,63,2727490.3077519457,538.0,5882.460644531249,6259.59814453125,6526.37314453125,,polygons_BCN
700,64,846275.2400810587,1090.0,4426.71883877841,4731.444998604909,5070.75922851563,,polygons_BCN
706,65,1886953.2269068789,2746.0,3083.7358690344777,3430.93505859375,3683.6318359375,,polygons_BCN
725,66,942579.247154483,1771.0,2337.03948974609,2486.40087890625,2714.7640380859402,,polygons_BCN
726,67,2134298.1171253775,1898.0,5049.519266941237,5405.474187677555,5672.486813354492,,polygons_BCN
727,68,9248087.725368222,1096.0,3611.04791259766,3877.5823974609402,4106.6422119140625,,polygons_BCN
